iter	Passed	Remaining
0	350	52188
1	705	52212
2	1056	51772
3	1432	52282
4	1803	52292
5	2178	52290
6	2537	51830
7	2912	51699
8	3257	51030
9	3640	50971
10	4005	50611
11	4373	50297
12	4762	50190
13	5158	50114
14	5549	49943
15	5915	49544
16	6265	49014
17	6631	48630
18	6996	48238
19	7353	47795
20	7702	47316
21	8050	46836
22	8395	46359
23	8767	46027
24	9116	45582
25	9475	45191
26	9854	44893
27	10222	44538
28	10592	44195
29	10959	43838
30	11321	43459
31	11689	43104
32	12044	42701
33	12394	42288
34	12425	40826
35	12783	40482
36	13134	40112
37	13506	39808
38	13911	39594
39	14306	39343
40	14752	39220
41	15179	39032
42	15564	38730
43	15991	38524
44	16363	38181
45	16376	37026
46	16392	35923
47	16756	35607
48	17114	35276
49	17481	34962
50	17880	34710
51	18256	34406
52	18624	34086
53	18988	33757
54	19353	33429
55	19712	33089
56	20091	32780
57	20471	32471
58	20849	32157
59	21228	31842
60	21586	31494
61	21958	31167
62	21972	30343
63	22325	29999
64	22683	29663
65	23049	29336
66	23441	29039
67	23812	28715
68	24239	28454
69	24697	28225
70	25155	27989
71	25574	27705
72	25999	27423
73	26396	27109
74	26801	26801
75	27176	26461
76	27564	26132
77	27969	25818
78	28336	25466
79	28724	25134
80	28737	24479
81	29091	24124
82	29460	23780
83	29819	23429
84	30180	23078
85	30522	22714
86	30915	22386
87	31273	22033
88	31645	21689
89	32010	21340
90	32435	21029
91	32826	20694
92	33242	20374
93	33634	20037
94	34013	19691
95	34373	19335
96	34776	19001
97	35191	18672
98	35600	18339
99	36005	18002
100	36402	17660
101	36830	17332
102	37227	16987
103	37610	16635
104	37985	16279
105	38362	15924
106	38742	15569
107	39112	15210
108	39484	14851
109	39849	14490
110	40234	14136
111	40625	13783
112	41012	13428
113	41025	12955
114	41378	12593
115	41755	12238
116	42145	11887
117	42532	11534
118	42893	11174
119	43262	10815
120	43661	10464
121	44023	10103
122	44407	9747
123	44784	9390
124	45180	9036
125	45596	8685
126	46016	8333
127	46416	7977
128	46816	7621
129	47216	7264
130	47592	6902
131	47945	6537
132	48299	6173
133	48658	5809
134	49013	5445
135	49383	5083
136	49727	4718
137	50087	4355
138	50470	3994
139	50819	3629
140	51212	3268
141	51585	2906
142	51952	2543
143	52299	2179
144	52678	1816
145	53030	1452
146	53382	1089
147	53750	726
148	54093	363
149	54446	0
